Argument values: path=/home/nikiaker/Projects/studia/stop2/sem2/algorytmy/lab1/framsticks/Framsticks54, lib=None, sim=eval-allcriteria-mini.sim;deterministic.sim;recording-body-coords.sim;only-body.sim, genformat=0, initialgenotype=None, opt=jumpdistance, popsize=60, generations=300, tournament=7, pmut=0.9, pxov=0.0, hof_size=1, hof_savefile=genotypes_jump/HoF-jump-f0-eps001-center-run4.gen, max_numparts=20, max_numjoints=40, max_numneurons=0, max_numconnections=0, max_numgenochars=None, log_file=logs_jump/log-jump-f0-eps001-center-run4.json, stagnation_generations=None, plateau_escape=False, eps=0.01, placement=center
Using Framsticks version: 5.4
Home (writable) dir     : /home/nikiaker/Projects/studia/stop2/sem2/algorytmy/lab1/framsticks/Framsticks54/data
Resources dir           : /home/nikiaker/Projects/studia/stop2/sem2/algorytmy/lab1/framsticks/Framsticks54/data

Available objects: ['CheckpointEvent', 'Collision', 'CrCollision', 'Creature', 'CreatureSettings', 'CreatureSignals', 'CreatureSnapshot', 'Dictionary', 'ExpProperties', 'ExpState', 'ExtValue', 'File', 'FunctionReference', 'GenMan', 'GenManStats', 'GenePool', 'GenePools', 'Geno', 'GenoConverters', 'Genotype', 'Interface', 'Joint', 'Loader', 'Math', 'MechJoint', 'MechPart', 'MessageCatcher', 'Model', 'ModelGeometry', 'ModelSymmetry', 'Neuro', 'NeuroClass', 'NeuroClassLibrary', 'NeuroDef', 'NeuroSignals', 'NeuronsSimEnabled', 'ODE', 'Orient', 'Part', 'Population', 'Populations', 'Ref', 'Signal', 'SignalView', 'SimilMeasure', 'SimilMeasureDistribution', 'SimilMeasureGreedy', 'SimilMeasureHungarian', 'Simulator', 'SlaveSimulators', 'StopEvent', 'String', 'UserScripts', 'Vector', 'WireframeAppearance', 'World', 'WorldMap', 'WorldSignals', 'XYZ', '__builtins__', '__cached__', '__doc__', '__file__', '__loader__', '__name__', '__package__', '__spec__', 'c_api', 'ctypes', 'home_dir', 'init', 'os', 're', 'res_dir', 'sim_params', 'stats', 'sys']

Basic tests OK. Using settings: ['eval-allcriteria-mini.sim', 'deterministic.sim', 'recording-body-coords.sim', 'only-body.sim']

Simulator.load: Loading from 'eval-allcriteria-mini.sim'
Simulator.load: Loaded simulator settings from 'eval-allcriteria-mini.sim'
Simulator.load: Loading from 'deterministic.sim'
Loader.load: Comments read from file follow:
Loader.load:  Parameter values that make the evaluation of a Framsticks creature deterministic.
Loader.load:  The values turn off random noise, so evaluation of the same genotype will always yield the same performance.
Loader.load:  The advantage is that you do not need to evaluate a genotype many times, and performance values are reliable.
Loader.load:  The disadvantage is that evolved creatures are "overfitting", i.e. rely entirely on the specific environment,
Loader.load:  and their behavior may be different in any other environment or (even slightly) changed conditions or parameter values,
Loader.load:  so each creature evolved using these settings must be later inspected using exactly the same setup.
Loader.load: 
Loader.load:  Before loading this file, load base settings, e.g. "eval-allcriteria.sim".
Loader.load:  Put this file in the "data" subdirectory within the Framsticks distribution.
Simulator.load: Loaded simulator settings from 'deterministic.sim'
Simulator.load: Loading from 'recording-body-coords.sim'
Loader.load: Comments read from file follow:
Loader.load:  The recording of the "center of gravity" (or mass) of all Parts of a creature during its lifespan, and
Loader.load:  the recording of coordinates of all Parts are stored as data->bodyrecording.
Loader.load:  Use STORE_ALL_PART_COORDS below to decide how much data you need recorded - maybe only COG and no Parts.
Loader.load: 
Loader.load:  If STORE_ALL_PART_COORDS=0 below, only COG is stored and the format is
Loader.load:  [ [cog1x,cog1y,cog1z], [cog2x,cog2y,cog2z], [cog3x,cog3y,cog3z], ...]
Loader.load:  where index numbers in the names are simulation steps.
Loader.load:  So you get a vector of COG x,y,z coordinates repeated for every simulation step.
Loader.load: 
Loader.load:  If STORE_ALL_PART_COORDS=1 below, the format is more verbose with one more level of nesting, because after the COG,
Loader.load:  the list of coordinates of all Parts follows (the first index in the names below is the simulation step, the second one is Part number)
Loader.load:  [ [[cog1x,cog1y,cog1z], [p1_1x,p1_1y,p1_1z], [p1_2x,p1_2y,p1_2z], ...], ...]
Loader.load: 
Loader.load:  You can further limit the amount of stored data by recording coordinates less frequently - see onCreaturesStep() comment below.
Loader.load:  Adjust 'Energy0' to achieve the lifespan you need.
Loader.load:  'evalcount' should likely be 1 unless you need other performance criteria (like vertpos or distance) averaged from multiple evaluations.
Loader.load:  Put this file in the "data" subdirectory within the Framsticks distribution unless you prefer to provide its path when loading.
Simulator.load: Loaded simulator settings from 'recording-body-coords.sim'
Simulator.load: Loading from 'only-body.sim'
Loader.load: Comments read from file follow:
Loader.load:  Turns off mutations in f0, f1, f4, fH related to brain (disables adding and modifying neurons)
Simulator.load: Loaded simulator settings from 'only-body.sim'
Using mutation rate from frams: 0.0
gen	nevals	avg	stddev	min	max
0  	60    	0  	0     	0  	0  
1  	52    	0  	0     	0  	0  
2  	55    	0  	0     	0  	0  
3  	56    	0  	0     	0  	0  
4  	54    	0  	0     	0  	0  
5  	55    	0  	0     	0  	0  
6  	54    	0  	0     	0  	0  
7  	53    	0  	0     	0  	0  
8  	56    	3.60746e-05	0.000277094	0  	0.00216448
9  	55    	0          	0          	0  	0         
10 	55    	0          	0          	0  	0         
11 	55    	7.47274e-05	0.000573992	0  	0.00448364
12 	50    	0.000220475	0.000961316	0  	0.00448364
13 	57    	0.000124086	0.000682516	0  	0.00448364
14 	58    	0.000124551	0.000685489	0  	0.00451155
15 	53    	7.51924e-05	0.000577564	0  	0.00451155
16 	50    	8.3789e-05 	0.000580213	0  	0.00451155
17 	56    	9.23856e-05	0.000582724	0  	0.00451155
18 	55    	0.000163564	0.000813718	0  	0.00451155
19 	54    	0.000252811	0.000908257	0  	0.00451155
20 	49    	0.000336329	0.00100684 	0  	0.00451155
21 	53    	0.000398268	0.0011305  	0  	0.00451155
22 	53    	0.000604889	0.0014282  	0  	0.00466765
23 	55    	0.000417724	0.00120931 	0  	0.00451155
24 	53    	0.00042828 	0.00126995 	0  	0.0050827 
25 	54    	0.000508566	0.00147229 	0  	0.0050827 
26 	55    	0.000504036	0.00151238 	0  	0.0050827 
27 	52    	0.000254177	0.00110794 	0  	0.00509276
28 	53    	0.00034895 	0.00126782 	0  	0.00509276
29 	57    	0.000366793	0.00123996 	0  	0.00507519
30 	55    	0.000346241	0.00120537 	0  	0.0050852 
31 	52    	0.000474826	0.00142641 	0  	0.0050852 
32 	55    	0.000651474	0.00328021 	0  	0.0244932 
33 	55    	0.000210898	0.000958417	0  	0.00507519
34 	54    	0.000420129	0.00129192 	0  	0.00507519
35 	52    	0.000343878	0.00117412 	0  	0.00508071
36 	53    	0.000399083	0.00124098 	0  	0.00508071
37 	54    	0.00068435 	0.00159176 	0  	0.00559981
38 	54    	0.00104611 	0.00241179 	0  	0.0136617 
39 	54    	0.000378522	0.00138682 	0  	0.00569047
40 	55    	0.000266636	0.00106846 	0  	0.00569047
41 	55    	0.000506787	0.00238622 	0  	0.0180927 
42 	57    	0.000580537	0.00145666 	0  	0.00626878
43 	55    	0.000540978	0.00138237 	0  	0.00459363
44 	52    	0.000734374	0.0016636  	0  	0.00626878
45 	55    	0.000608367	0.00144776 	0  	0.004899  
46 	52    	0.00080706 	0.00170937 	0  	0.004899  
47 	53    	0.000556724	0.00144881 	0  	0.00507191
48 	53    	0.000728467	0.00164003 	0  	0.00507306
49 	52    	0.000747629	0.00188861 	0  	0.00934593
50 	54    	0.000666293	0.00186506 	0  	0.00930519
51 	54    	0.000883213	0.00249616 	0  	0.00935834
52 	57    	0.000555783	0.00211866 	0  	0.00934072
53 	56    	0.000521648	0.00189438 	0  	0.00932051
54 	51    	0.000314913	0.001377   	0  	0.00922441
55 	56    	0.000172488	0.0011806  	0  	0.00922441
56 	54    	0.000209832	0.00118182 	0  	0.00922441
57 	56    	0.000262481	0.000665447	0  	0.00415356
58 	51    	0.000566348	0.00102908 	0  	0.00415356
59 	55    	0.000491227	0.00109435 	0  	0.00480088
60 	54    	0.000814478	0.00214065 	0  	0.0140124 
61 	49    	0.000756308	0.00133819 	0  	0.00478937
62 	54    	0.00102118 	0.00174696 	0  	0.00735069
63 	57    	0.000752157	0.00174286 	0  	0.00813959
64 	56    	0.0011569  	0.00211786 	0  	0.00992181
65 	51    	0.00143091 	0.00250526 	0  	0.00955073
66 	55    	0.00106691 	0.00260782 	0  	0.0129777 
67 	52    	0.00168841 	0.00364413 	0  	0.0135543 
68 	56    	0.00121422 	0.00305925 	0  	0.0136881 
69 	59    	0.000893521	0.00259597 	0  	0.0129777 
70 	50    	0.00122427 	0.00321991 	0  	0.0140597 
71 	50    	0.00113471 	0.00311646 	0  	0.0140597 
72 	54    	0.00239861 	0.00417303 	0  	0.0130143 
73 	56    	0.00162213 	0.00374007 	0  	0.0130609 
74 	52    	0.00229521 	0.00415046 	0  	0.0130609 
75 	52    	0.0023799  	0.0042349  	0  	0.0130609 
76 	55    	0.00267726 	0.00448502 	0  	0.0133728 
77 	55    	0.00163603 	0.00369306 	0  	0.0133728 
78 	56    	0.00170933 	0.00390407 	0  	0.0133728 
79 	52    	0.00206858 	0.00431338 	0  	0.0138315 
80 	54    	0.00172862 	0.00387183 	0  	0.0141745 
81 	56    	0.00147924 	0.00339643 	0  	0.0116623 
82 	55    	0.00210243 	0.0037478  	0  	0.0116601 
83 	54    	0.00178444 	0.00329394 	0  	0.0116713 
84 	57    	0.000758821	0.00199926 	0  	0.0102639 
85 	50    	0.00156507 	0.00311465 	0  	0.0134203 
