Argument values: path=/home/nikiaker/Projects/studia/stop2/sem2/algorytmy/lab1/framsticks/Framsticks54, lib=None, sim=eval-allcriteria-mini.sim;deterministic.sim;recording-body-coords.sim;only-body.sim, genformat=0, initialgenotype=None, opt=jumpdistance, popsize=60, generations=300, tournament=7, pmut=0.9, pxov=0.0, hof_size=1, hof_savefile=genotypes_jump/HoF-jump-f0-eps002-center-run8.gen, max_numparts=20, max_numjoints=40, max_numneurons=0, max_numconnections=0, max_numgenochars=None, log_file=logs_jump/log-jump-f0-eps002-center-run8.json, stagnation_generations=None, plateau_escape=False, eps=0.02, placement=center
Using Framsticks version: 5.4
Home (writable) dir     : /home/nikiaker/Projects/studia/stop2/sem2/algorytmy/lab1/framsticks/Framsticks54/data
Resources dir           : /home/nikiaker/Projects/studia/stop2/sem2/algorytmy/lab1/framsticks/Framsticks54/data

Available objects: ['CheckpointEvent', 'Collision', 'CrCollision', 'Creature', 'CreatureSettings', 'CreatureSignals', 'CreatureSnapshot', 'Dictionary', 'ExpProperties', 'ExpState', 'ExtValue', 'File', 'FunctionReference', 'GenMan', 'GenManStats', 'GenePool', 'GenePools', 'Geno', 'GenoConverters', 'Genotype', 'Interface', 'Joint', 'Loader', 'Math', 'MechJoint', 'MechPart', 'MessageCatcher', 'Model', 'ModelGeometry', 'ModelSymmetry', 'Neuro', 'NeuroClass', 'NeuroClassLibrary', 'NeuroDef', 'NeuroSignals', 'NeuronsSimEnabled', 'ODE', 'Orient', 'Part', 'Population', 'Populations', 'Ref', 'Signal', 'SignalView', 'SimilMeasure', 'SimilMeasureDistribution', 'SimilMeasureGreedy', 'SimilMeasureHungarian', 'Simulator', 'SlaveSimulators', 'StopEvent', 'String', 'UserScripts', 'Vector', 'WireframeAppearance', 'World', 'WorldMap', 'WorldSignals', 'XYZ', '__builtins__', '__cached__', '__doc__', '__file__', '__loader__', '__name__', '__package__', '__spec__', 'c_api', 'ctypes', 'home_dir', 'init', 'os', 're', 'res_dir', 'sim_params', 'stats', 'sys']

Basic tests OK. Using settings: ['eval-allcriteria-mini.sim', 'deterministic.sim', 'recording-body-coords.sim', 'only-body.sim']

Simulator.load: Loading from 'eval-allcriteria-mini.sim'
Simulator.load: Loaded simulator settings from 'eval-allcriteria-mini.sim'
Simulator.load: Loading from 'deterministic.sim'
Loader.load: Comments read from file follow:
Loader.load:  Parameter values that make the evaluation of a Framsticks creature deterministic.
Loader.load:  The values turn off random noise, so evaluation of the same genotype will always yield the same performance.
Loader.load:  The advantage is that you do not need to evaluate a genotype many times, and performance values are reliable.
Loader.load:  The disadvantage is that evolved creatures are "overfitting", i.e. rely entirely on the specific environment,
Loader.load:  and their behavior may be different in any other environment or (even slightly) changed conditions or parameter values,
Loader.load:  so each creature evolved using these settings must be later inspected using exactly the same setup.
Loader.load: 
Loader.load:  Before loading this file, load base settings, e.g. "eval-allcriteria.sim".
Loader.load:  Put this file in the "data" subdirectory within the Framsticks distribution.
Simulator.load: Loaded simulator settings from 'deterministic.sim'
Simulator.load: Loading from 'recording-body-coords.sim'
Loader.load: Comments read from file follow:
Loader.load:  The recording of the "center of gravity" (or mass) of all Parts of a creature during its lifespan, and
Loader.load:  the recording of coordinates of all Parts are stored as data->bodyrecording.
Loader.load:  Use STORE_ALL_PART_COORDS below to decide how much data you need recorded - maybe only COG and no Parts.
Loader.load: 
Loader.load:  If STORE_ALL_PART_COORDS=0 below, only COG is stored and the format is
Loader.load:  [ [cog1x,cog1y,cog1z], [cog2x,cog2y,cog2z], [cog3x,cog3y,cog3z], ...]
Loader.load:  where index numbers in the names are simulation steps.
Loader.load:  So you get a vector of COG x,y,z coordinates repeated for every simulation step.
Loader.load: 
Loader.load:  If STORE_ALL_PART_COORDS=1 below, the format is more verbose with one more level of nesting, because after the COG,
Loader.load:  the list of coordinates of all Parts follows (the first index in the names below is the simulation step, the second one is Part number)
Loader.load:  [ [[cog1x,cog1y,cog1z], [p1_1x,p1_1y,p1_1z], [p1_2x,p1_2y,p1_2z], ...], ...]
Loader.load: 
Loader.load:  You can further limit the amount of stored data by recording coordinates less frequently - see onCreaturesStep() comment below.
Loader.load:  Adjust 'Energy0' to achieve the lifespan you need.
Loader.load:  'evalcount' should likely be 1 unless you need other performance criteria (like vertpos or distance) averaged from multiple evaluations.
Loader.load:  Put this file in the "data" subdirectory within the Framsticks distribution unless you prefer to provide its path when loading.
Simulator.load: Loaded simulator settings from 'recording-body-coords.sim'
Simulator.load: Loading from 'only-body.sim'
Loader.load: Comments read from file follow:
Loader.load:  Turns off mutations in f0, f1, f4, fH related to brain (disables adding and modifying neurons)
Simulator.load: Loaded simulator settings from 'only-body.sim'
Using mutation rate from frams: 0.0
gen	nevals	avg	stddev	min	max
0  	60    	0  	0     	0  	0  
1  	51    	0  	0     	0  	0  
2  	51    	0  	0     	0  	0  
3  	55    	0  	0     	0  	0  
4  	52    	0  	0     	0  	0  
5  	49    	0  	0     	0  	0  
6  	53    	0  	0     	0  	0  
7  	56    	0  	0     	0  	0  
8  	51    	0  	0     	0  	0  
9  	55    	0  	0     	0  	0  
10 	54    	0  	0     	0  	0  
11 	57    	0  	0     	0  	0  
12 	50    	0  	0     	0  	0  
13 	57    	0  	0     	0  	0  
14 	54    	0  	0     	0  	0  
15 	53    	0  	0     	0  	0  
16 	58    	0  	0     	0  	0  
17 	52    	1.38151e-05	0.000106116	0  	0.000828906
18 	57    	1.38151e-05	0.000106116	0  	0.000828906
19 	53    	0          	0          	0  	0          
20 	52    	1.92502e-05	0.000147864	0  	0.00115501 
21 	58    	0          	0          	0  	0          
22 	53    	0          	0          	0  	0          
23 	53    	0          	0          	0  	0          
24 	57    	0          	0          	0  	0          
25 	51    	0          	0          	0  	0          
26 	50    	0          	0          	0  	0          
27 	56    	0          	0          	0  	0          
28 	55    	0          	0          	0  	0          
29 	50    	0          	0          	0  	0          
30 	56    	0          	0          	0  	0          
31 	58    	0          	0          	0  	0          
32 	55    	0          	0          	0  	0          
33 	47    	0          	0          	0  	0          
34 	58    	0          	0          	0  	0          
35 	54    	0          	0          	0  	0          
36 	54    	0          	0          	0  	0          
37 	52    	0          	0          	0  	0          
38 	56    	0          	0          	0  	0          
39 	55    	0          	0          	0  	0          
40 	57    	0          	0          	0  	0          
41 	54    	0          	0          	0  	0          
42 	58    	0          	0          	0  	0          
43 	54    	4.45756e-05	0.000342392	0  	0.00267454 
44 	53    	4.45756e-05	0.000342392	0  	0.00267454 
45 	50    	0.000222878	0.000739203	0  	0.00267454 
46 	57    	8.91513e-05	0.000480094	0  	0.00267454 
47 	51    	0.000123969	0.000545598	0  	0.00275845 
48 	55    	8.65256e-05	0.0004669  	0  	0.00275845 
49 	57    	0.000138459	0.000579016	0  	0.00275845 
50 	52    	0.000143334	0.000599198	0  	0.00275845 
51 	56    	0.000143881	0.000601566	0  	0.00275845 
52 	54    	9.72697e-05	0.000524624	0  	0.00307773 
53 	53    	2.80191e-05	0.000215219	0  	0.00168115 
54 	54    	2.80191e-05	0.000215219	0  	0.00168115 
55 	54    	2.82904e-05	0.000217303	0  	0.00169742 
56 	53    	0.000113162	0.000423412	0  	0.00169742 
57 	57    	8.34425e-05	0.000450197	0  	0.00265437 
58 	57    	4.44189e-05	0.000341188	0  	0.00266514 
59 	54    	0.00011088 	0.000493591	0  	0.00266514 
60 	55    	5.35135e-05	0.000288179	0  	0.00160541 
61 	52    	0.000136988	0.0004874  	0  	0.00266514 
62 	51    	0.000186018	0.000641456	0  	0.00281753 
63 	54    	0.000178075	0.000644756	0  	0.00281753 
64 	54    	8.70727e-05	0.000429899	0  	0.00281753 
65 	55    	0.000210861	0.000657328	0  	0.00281753 
66 	56    	0.00341248 	0.0260637  	0  	0.203609   
67 	51    	0.00342346 	0.0260629  	0  	0.203609   
68 	49    	0.00343648 	0.0260623  	0  	0.203609   
69 	57    	5.36526e-05	0.00033895 	0  	0.00258027 
70 	56    	8.0611e-05 	0.000393539	0  	0.00258027 
71 	55    	0.000104018	0.00046188 	0  	0.00258027 
72 	55    	0.000184274	0.000569343	0  	0.00258027 
73 	56    	0.000114574	0.000487569	0  	0.00258027 
74 	51    	0.000269923	0.000751748	0  	0.00290631 
75 	51    	0.000381288	0.000865297	0  	0.00270974 
76 	52    	0.000349984	0.000769326	0  	0.00270974 
77 	56    	0.000109853	0.000428051	0  	0.00208034 
78 	58    	5.0393e-05 	0.000288203	0  	0.0020433  
79 	57    	8.99399e-05	0.000397393	0  	0.00208034 
80 	58    	3.77384e-05	0.000289874	0  	0.0022643  
81 	53    	0          	0          	0  	0          
82 	52    	0          	0          	0  	0          
83 	55    	0          	0          	0  	0          
84 	55    	7.69591e-05	0.000591134	0  	0.00461755 
85 	56    	0          	0          	0  	0          
86 	49    	0          	0          	0  	0          
87 	56    	0          	0          	0  	0          
88 	50    	0          	0          	0  	0          
89 	51    	6.62521e-05	0.000508892	0  	0.00397512 
90 	55    	0.000230985	0.00089311 	0  	0.00397512 
91 	57    	8.55598e-05	0.000464139	0  	0.00287328 
92 	55    	9.62046e-05	0.000554918	0  	0.00397512 
93 	52    	0.000126157	0.000595906	0  	0.00397512 
94 	52    	0.000222362	0.000799227	0  	0.00397512 
95 	56    	0.000297464	0.000948496	0  	0.00397512 
96 	52    	0.000298804	0.00100593 	0  	0.00397512 
97 	53    	0.000571227	0.00157262 	0  	0.00795192 
98 	53    	0.000734751	0.00186995 	0  	0.00795192 
